CMDLINE C:\Users\MuhametovRD\AppData\Local\anaconda3\envs\tf3\python.exe main.py
MEM 1255.820312 1696846536.9102
MEM 1263.589844 1696846537.0205
MEM 1270.730469 1696846537.1315
MEM 1289.070312 1696846537.2415
MEM 1291.613281 1696846537.3536
MEM 1297.160156 1696846537.4657
MEM 1305.257812 1696846537.5778
MEM 1313.582031 1696846537.6888
MEM 1320.355469 1696846537.7988
MEM 1328.265625 1696846537.9090
MEM 1339.660156 1696846538.0191
MEM 1359.886719 1696846538.1293
MEM 1359.933594 1696846538.2414
MEM 1367.019531 1696846538.3524
MEM 1391.492188 1696846538.4645
MEM 1392.433594 1696846538.5755
MEM 1394.820312 1696846538.6876
MEM 1395.062500 1696846538.7997
MEM 1404.527344 1696846538.9118
MEM 1414.093750 1696846539.0239
MEM 1420.191406 1696846539.1349
MEM 1435.382812 1696846539.2469
MEM 1441.035156 1696846539.3580
MEM 1451.210938 1696846539.4700
MEM 1468.101562 1696846539.5820
MEM 1470.628906 1696846539.6940
MEM 1485.539062 1696846539.8062
MEM 1491.976562 1696846539.9162
MEM 1504.656250 1696846540.0283
MEM 1519.566406 1696846540.1393
MEM 1527.960938 1696846540.2514
MEM 1550.695312 1696846540.3625
MEM 1560.593750 1696846540.4735
MEM 1571.636719 1696846540.5855
MEM 1593.097656 1696846540.6975
MEM 1612.742188 1696846540.8096
MEM 1619.625000 1696846540.9217
MEM 1623.808594 1696846541.0327
MEM 1646.171875 1696846541.1427
MEM 1655.148438 1696846541.2538
MEM 1665.164062 1696846541.3658
MEM 1677.695312 1696846541.4748
MEM 1696.957031 1696846541.5868
MEM 1706.523438 1696846541.6988
MEM 1716.953125 1696846541.8099
MEM 1739.593750 1696846541.9219
MEM 1759.683594 1696846542.0339
MEM 1770.437500 1696846542.1450
MEM 1791.453125 1696846542.2560
MEM 1802.078125 1696846542.3680
MEM 1809.562500 1696846542.4800
MEM 1838.847656 1696846542.5911
MEM 1840.660156 1696846542.7021
MEM 1884.398438 1696846542.8141
MEM 1904.699219 1696846542.9261
MEM 1906.539062 1696846543.0381
MEM 1902.496094 1696846543.1501
MEM 1910.171875 1696846543.2622
MEM 1916.515625 1696846543.3743
MEM 1917.015625 1696846543.4865
MEM 1917.328125 1696846543.5976
MEM 1917.554688 1696846543.7076
MEM 1912.296875 1696846543.8188
MEM 1912.316406 1696846543.9288
MEM 1939.300781 1696846544.0398
MEM 1958.226562 1696846544.1499
MEM 1964.468750 1696846544.2620
MEM 1978.007812 1696846544.3720
MEM 2008.699219 1696846544.4841
MEM 2030.804688 1696846544.5961
MEM 2042.277344 1696846544.7081
MEM 2042.925781 1696846544.8192
MEM 2042.117188 1696846544.9292
MEM 2042.304688 1696846545.0414
MEM 2047.097656 1696846545.1525
MEM 2050.847656 1696846545.2646
MEM 2051.160156 1696846545.3766
MEM 2051.519531 1696846545.4877
MEM 2051.816406 1696846545.5998
MEM 2046.351562 1696846545.7118
MEM 2046.414062 1696846545.8239
MEM 2072.183594 1696846545.9362
MEM 2073.945312 1696846546.0469
MEM 2073.949219 1696846546.1565
MEM 2073.949219 1696846546.2685
MEM 2247.562500 1696846546.3786
MEM 2247.839844 1696846546.4897
MEM 2247.839844 1696846546.6017
MEM 2631.839844 1696846546.7137
MEM 3207.839844 1696846546.8247
MEM 3719.839844 1696846546.9369
MEM 4039.839844 1696846547.0490
MEM 4040.492188 1696846547.1600
MEM 4042.046875 1696846547.2701
MEM 4042.785156 1696846547.3801
MEM 4044.113281 1696846547.4901
MEM 4048.000000 1696846547.6013
MEM 4051.867188 1696846547.7123
MEM 4054.425781 1696846547.8244
MEM 4056.648438 1696846547.9355
MEM 4060.207031 1696846548.0465
MEM 4064.605469 1696846548.1530
MEM 4065.824219 1696846548.2541
MEM 4065.824219 1696846548.3641
MEM 4066.515625 1696846548.4743
MEM 4072.046875 1696846548.5854
MEM 4076.246094 1696846548.6955
MEM 4080.496094 1696846548.8065
MEM 4087.269531 1696846548.9185
MEM 4095.035156 1696846549.0296
MEM 4107.175781 1696846549.1393
MEM 4117.316406 1696846549.2494
MEM 4110.289062 1696846549.3565
MEM 4112.480469 1696846549.4676
MEM 4110.855469 1696846549.5791
MEM 4112.515625 1696846549.6900
MEM 4112.515625 1696846549.7998
MEM 4112.515625 1696846549.9119
MEM 4112.515625 1696846550.0230
MEM 4112.515625 1696846550.1340
MEM 4112.515625 1696846550.2452
MEM 4112.515625 1696846550.3562
MEM 4112.515625 1696846550.4681
MEM 4112.515625 1696846550.5796
MEM 4112.515625 1696846550.6894
MEM 4112.515625 1696846550.7995
MEM 4112.515625 1696846550.9113
MEM 4112.515625 1696846551.0236
MEM 4123.929688 1696846551.1323
MEM 4123.929688 1696846551.2429
MEM 4123.929688 1696846551.3524
MEM 4123.929688 1696846551.4604
MEM 4123.929688 1696846551.5717
MEM 4123.929688 1696846551.6837
MEM 4123.929688 1696846551.7955
MEM 4123.929688 1696846551.9069
MEM 4123.929688 1696846552.0183
MEM 4123.929688 1696846552.1287
MEM 4123.929688 1696846552.2385
MEM 4123.929688 1696846552.3477
MEM 4123.929688 1696846552.4587
MEM 4123.929688 1696846552.5705
MEM 4123.929688 1696846552.6807
MEM 4123.929688 1696846552.7898
MEM 4123.929688 1696846552.8978
MEM 4123.929688 1696846553.0091
MEM 4123.929688 1696846553.1177
MEM 4183.101562 1696846553.2257
MEM 4191.039062 1696846553.3358
MEM 4196.218750 1696846553.4459
MEM 4231.156250 1696846553.5558
MEM 4254.105469 1696846553.6679
MEM 4318.355469 1696846553.7789
MEM 4358.761719 1696846553.8875
MEM 4355.656250 1696846553.9970
MEM 4400.281250 1696846554.1069
MEM 4434.460938 1696846554.2153
MEM 4483.609375 1696846554.3264
MEM 4485.167969 1696846554.4379
MEM 4479.328125 1696846554.5444
MEM 4470.230469 1696846554.6543
MEM 4469.070312 1696846554.7649
MEM 4499.000000 1696846554.8750
MEM 4507.789062 1696846554.9829
MEM 4469.011719 1696846555.0943
MEM 4470.605469 1696846555.2038
MEM 4469.011719 1696846555.3132
